Question,Answer
من هو أول من نزل على سطح القمر ؟,نيل أمسترونج
كم عدد الأسنان في فم الإنسان العادي ؟,32 سنا
كم عدد أعين الذبابة ؟,5 أعين
كم عدد أرجل العنكبوت ؟,8 أرجل
ماذا يسمى بيت النمل ؟,قرية النمل
كم عظمة توجد في جسم الإنسان  ؟,206 عظمات
أين تقع جزيرة لانجرهانز ؟,في البنكرياس
ماذا يطلق على صوت الماء ؟,خرير
من الذي اكتشف الصفر ؟,العرب
ماذا يسمى ابن الأسد ؟,شبل
ما إسم الكواكب التى وجد فيها الذهب أكثر من غيرها ؟,عطارد - الزهرة - المريخ
ما إسم أكبر بحار العالم ؟,البحر الأبيض المتوسط
ما إسم أطول نهر في العالم ؟,نهر النيل
كم عدد الخلفاء الراشدين ؟,4 خلفاء
ما هي عاصمة الأرجنتين ؟,بونس آيرس
أين يقع مقام سيدنا إبراهيم عليه السلام ؟,في مكة المكرمة
من هم الذين حاولوا هدم الكعبة المشرفة ؟,الأحباش
كم عدد فرائض الوضوء ؟,7 فرائض
كم عدد الصمامات في قلب الإنسان ؟,4 صمامات
من هو النبي الملقب بأبي الأنبياء ؟,سيدنا إبراهيم عليه السلام
ما إسم عاصمة هولندا ؟,أمستردام
لماذا لقب سيدنا عثمان بن عفان بذي النورين ؟,لأنه تزوج بنتان من بنات الرسول
لماذا لقب سيدنا يونس بهذا بصاحب الحوت ؟,لأنه لبث أربعين يوما في بطن الحوت
من أول من آمن بالرسول صلى الله عليه وسلم من العبيد؟,سيدنا بلال بن رباح
من هو سيف الله المسلول ؟,سيدنا خالد بن الوليد
من هي صاحبة الجلالة ؟,الصحافة
ماذا يطلق على صوت القلم ؟,صرير
كم عدد الحواريين الذين اتبعوا سيدنا عيسى عليه السلام ؟,12 حواري
ماذا يسمى ابن الكلب ؟,جرو
ما هو قلب القرءان ؟,سورة يس
ما هي السورة التي لا يوجد بها حرف الفاء ؟,سورة الفاتحة
ما إسم السورة التي لا تخلوا من ذكر الله ؟,سورة المجادلة
كم عدد سور القرءان الكريم ؟,114 سورة
لماذا سمي كوكب المريخ بالكوكب الأحمر ؟,بسبب لون صخوره الحمر ؟
من هو مكتشف كوكب أورانس ؟,وليم هرشن
كم يبلغ قطر الشمس ؟,70.000.000 مليون كم2
ماذا يسمى صوت الحمار ؟,نهيق
كم يعادل كوكب المشتري كوكبا من الأرض ؟,1300 كوكب
من هو النبي الوحيد الذي رأى وتكلم مع الله سبحانه وتعالى ؟,سيدنا محمد صلى الله عليه وسلم
من هو قائد الملائكة ؟,سيدنا جبريل عليه السلام
